[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.055410 ] THIS CLASS DOES NOT YET SUPPORT RETURN THE DEVICE NAME.
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211077 ] 
   Agent: GenericAgent
   ActionWrapper: GymWrapper
   StateBuilder: PureState
   RewardBuilder: PureReward
   Environment: GymEnv
   Model: DoubleDeepQLearning
       Layer 0: {'type': 'input', 'nodes': 25, 'shape': 4}
       Layer 1: {'type': 'fullyconn', 'nodes': 25, 'name': 'default0'}
       Layer 2: {'type': 'output', 'length': 2}

[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211140 ] WARNING! Starting new training on /app/urnai/models/saved/cartpole-v1_ddql_25x25_json with SAVING ENABLED.
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211472 ] > Training
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211532 ] 
   Agent: GenericAgent
   ActionWrapper: GymWrapper
   StateBuilder: PureState
   RewardBuilder: PureReward
   Environment: GymEnv
   Model: DoubleDeepQLearning
       Layer 0: {'type': 'input', 'nodes': 25, 'shape': 4}
       Layer 1: {'type': 'fullyconn', 'nodes': 25, 'name': 'default0'}
       Layer 2: {'type': 'output', 'length': 2}

[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.490624 ] Episode: 22/1000 | Outcome: 1 | Episode Avg. Reward:  21.818182 | Episode Reward:  52.000000 | Episode Steps:  52.000000 | Best Reward was 52.0 on episode: 22 |Episode Duration (seconds): 0.0 | Episode SPS: 3610.15 | SPS AVG: 13942.17 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8658690413444576}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.502238 ] Episode: 23/1000 | Outcome: 1 | Episode Avg. Reward:  21.391304 | Episode Reward:  12.000000 | Episode Steps:  12.000000 | Best Reward was 52.0 on episode: 22 |Episode Duration (seconds): 0.0 | Episode SPS: 5236.33 | SPS AVG: 13563.65 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8627570509179314}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.514876 ] Episode: 24/1000 | Outcome: 1 | Episode Avg. Reward:  21.208333 | Episode Reward:  17.000000 | Episode Steps:  17.000000 | Best Reward was 52.0 on episode: 22 |Episode Duration (seconds): 0.0 | Episode SPS: 5083.28 | SPS AVG: 13210.3 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8583675342809536}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.539472 ] Episode: 25/1000 | Outcome: 1 | Episode Avg. Reward:  23.120000 | Episode Reward:  69.000000 | Episode Steps:  69.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4587.57 | SPS AVG: 12865.39 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8407793537505119}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.556095 ] Episode: 26/1000 | Outcome: 1 | Episode Avg. Reward:  23.384615 | Episode Reward:  30.000000 | Episode Steps:  30.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4084.57 | SPS AVG: 12527.67 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8332451640985706}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.567372 ] Episode: 27/1000 | Outcome: 1 | Episode Avg. Reward:  22.851852 | Episode Reward:   9.000000 | Episode Steps:   9.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4278.93 | SPS AVG: 12222.16 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8309980999808868}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.579715 ] Episode: 28/1000 | Outcome: 1 | Episode Avg. Reward:  22.571429 | Episode Reward:  15.000000 | Episode Steps:  15.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 4674.53 | SPS AVG: 11952.6 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8272664512633885}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.591665 ] Episode: 29/1000 | Outcome: 1 | Episode Avg. Reward:  22.689655 | Episode Reward:  26.000000 | Episode Steps:  26.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 9502.61 | SPS AVG: 11868.12 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8208379125131751}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.611790 ] Episode: 30/1000 | Outcome: 1 | Episode Avg. Reward:  23.133333 | Episode Reward:  36.000000 | Episode Steps:  36.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 3321.56 | SPS AVG: 11583.23 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8120192467174363}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.624272 ] Episode: 31/1000 | Outcome: 1 | Episode Avg. Reward:  22.935484 | Episode Reward:  17.000000 | Episode Steps:  17.000000 | Best Reward was 69.0 on episode: 25 |Episode Duration (seconds): 0.0 | Episode SPS: 5112.8 | SPS AVG: 11374.51 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8078878727817261}
